0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
4,6
4,7
4,8
4,9
4,10
4,11
4,12
4,13
10,1
10,2
10,3
10,4
10,15
10,16
10,17
10,18
15,6
15,7
15,8
15,9
15,10
15,11
15,12
15,13
19,0
19,1
19,2
19,3
19,4
19,5
19,6
19,7
19,8
19,9
19,10
19,11
19,12
19,13
19,14
19,15
19,16
19,17
19,18
19,19
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
11,5
12,5
13,5
14,5
15,5
16,5
17,5
18,5
1,14
2,14
3,14
4,14
5,14
6,14
7,14
8,14
9,14
10,14
11,14
12,14
13,14
14,14
15,14
16,14
17,14
18,14
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
2,17
3,17
4,17
5,17
6,17
7,17
8,17
9,17
11,17
12,17
13,17
14,17
15,17
16,17
17,17
1,19
2,19
3,19
4,19
5,19
6,19
7,19
8,19
9,19
10,19
11,19
12,19
13,19
14,19
15,19
16,19
17,19
18,19
