// 1a linha - inicio
1,2
1,3
1,4
1,7
1,8
1,9
1,10
1,11
1,12
1,15
1,16
1,17
// 1a linha - fim

5,8
5,9
5,10
5,11

// verticais - inicio
4,4
5,4
6,4
7,4
4,15
5,15
6,15
7,15

11,3
12,3
13,3
14,3
15,3
11,16
12,16
13,16
14,16
15,16
// verticais - fim

// quadrado central - inicio
8,7
9,7
10,7

8,8
8,9
8,10
8,11
8,12

9,12
10,12
11,12

11,7
11,8
11,9
11,10
11,11
// quadrado central - fim

14,8
14,9
14,10
14,11

// ultima linha - inicio
18,2
18,3
18,4
18,7
18,8
18,9
18,10
18,11
18,12
18,15
18,16
18,17
// ultima linha - fim
